,loss,accuracy,f1-score,iou_score,val_loss,val_accuracy,val_f1-score,val_iou_score,lr
0,0.10944534093141556,0.9771962761878967,0.03234735131263733,0.016754891723394394,0.08143577724695206,0.9799955487251282,0.03467613086104393,0.018082384020090103,1e-04
1,0.0927516371011734,0.977400004863739,0.04536907747387886,0.023771576583385468,0.08708099275827408,0.9799955487251282,0.049837611615657806,0.026379898190498352,1e-04
2,0.08849430084228516,0.9774006605148315,0.05676242336630821,0.03005470149219036,0.08022809773683548,0.9799955487251282,0.059247516095638275,0.031758613884449005,1e-04
3,0.08452558517456055,0.9773995280265808,0.06843982636928558,0.03651335835456848,0.08805347234010696,0.9799955487251282,0.06399214267730713,0.034239403903484344,1e-04
4,0.08088931441307068,0.9774001836776733,0.07583453506231308,0.0406792089343071,0.08950971066951752,0.9799955487251282,0.07281933724880219,0.03926515579223633,1e-04
5,0.07811449468135834,0.977400004863739,0.08909675478935242,0.048508819192647934,0.08474473655223846,0.9799955487251282,0.062111832201480865,0.03383305296301842,1e-04
6,0.06977365165948868,0.9774007797241211,0.1270229071378708,0.0719977542757988,0.0534832589328289,0.9802131056785583,0.16907738149166107,0.09969539940357208,1e-04
7,0.0615830235183239,0.9800553917884827,0.19192558526992798,0.11368187516927719,0.053887657821178436,0.984768807888031,0.20122449100017548,0.12206359952688217,1e-04
8,0.055830489844083786,0.9817558526992798,0.24354897439479828,0.14987283945083618,0.06673364341259003,0.9713577032089233,0.2357969582080841,0.1482650190591812,1e-04
9,0.05409235507249832,0.982390820980072,0.26006361842155457,0.16266433894634247,0.051671821624040604,0.9838908314704895,0.23529334366321564,0.1475929468870163,1e-04
10,0.050798047333955765,0.983260989189148,0.2917729616165161,0.18602123856544495,0.042170558124780655,0.9862353801727295,0.29079124331474304,0.18464767932891846,1e-04
11,0.05005517229437828,0.9833824038505554,0.29756784439086914,0.19041666388511658,0.04942208155989647,0.9848331212997437,0.2640326917171478,0.16532491147518158,1e-04
12,0.04807174950838089,0.9838311672210693,0.315203458070755,0.2034795582294464,0.043233491480350494,0.9861983060836792,0.28394198417663574,0.18127897381782532,1e-04
13,0.046620823442935944,0.984490156173706,0.3217580020427704,0.20988447964191437,0.04635614529252052,0.9854518175125122,0.2921321392059326,0.1874975860118866,1e-04
14,0.045180778950452805,0.984485924243927,0.3360452651977539,0.22014029324054718,0.03954219073057175,0.987534761428833,0.34394851326942444,0.23016105592250824,1e-04
15,0.04545893147587776,0.984421968460083,0.33645710349082947,0.22059202194213867,0.03967510908842087,0.987335741519928,0.3114969730377197,0.20145854353904724,1e-04
16,0.04316040873527527,0.9851515889167786,0.3535135090351105,0.2342148721218109,0.04829147458076477,0.9856775999069214,0.3142295777797699,0.20689435303211212,1e-04
17,0.04257173091173172,0.9854604005813599,0.3582112491130829,0.23863917589187622,0.039032574743032455,0.9873705506324768,0.3510628044605255,0.23610423505306244,1e-04
18,0.04081185162067413,0.9859430193901062,0.36966225504875183,0.24823902547359467,0.04010751470923424,0.9875307083129883,0.36033904552459717,0.2448282688856125,1e-04
19,0.039078500121831894,0.9864082932472229,0.389172226190567,0.26434770226478577,0.0393710695207119,0.9878615140914917,0.3764651417732239,0.2578180134296417,1e-04
20,0.03801408037543297,0.9867344498634338,0.39738649129867554,0.2709922194480896,0.048287101089954376,0.9867625832557678,0.36695289611816406,0.2506524324417114,1e-04
21,0.038041770458221436,0.9868413805961609,0.3938184678554535,0.26813849806785583,0.043856024742126465,0.987258791923523,0.37414175271987915,0.2554229199886322,1e-04
22,0.035938557237386703,0.9873296022415161,0.4187123775482178,0.28870803117752075,0.04328003153204918,0.9867253303527832,0.3320918083190918,0.2226763218641281,1e-04
23,0.03637005761265755,0.9871673583984375,0.4121507704257965,0.28299081325531006,0.060379307717084885,0.9852932691574097,0.30731090903282166,0.20420140027999878,1e-04
24,0.03483763709664345,0.9875572919845581,0.424964964389801,0.29410600662231445,0.040101975202560425,0.9873789548873901,0.3448830246925354,0.22975914180278778,1e-04
25,0.030673129484057426,0.9889898300170898,0.45632603764533997,0.32092371582984924,0.04560738429427147,0.9875059723854065,0.387755811214447,0.2681199610233307,1e-05
26,0.028814516961574554,0.9893743991851807,0.48505067825317383,0.3473622798919678,0.04429592564702034,0.9874951839447021,0.39415010809898376,0.27237558364868164,1e-05
27,0.028022218495607376,0.9897195100784302,0.4930092692375183,0.35489359498023987,0.04734596610069275,0.9874783754348755,0.3947620987892151,0.27384495735168457,1e-05
28,0.027330204844474792,0.9898971915245056,0.49797260761260986,0.3593936264514923,0.0461297333240509,0.9875114560127258,0.39358630776405334,0.27295732498168945,1e-05
29,0.02723187766969204,0.9898906350135803,0.4979594051837921,0.3599148988723755,0.04736289009451866,0.9876213073730469,0.3995877206325531,0.27889111638069153,1e-05
30,0.02645825408399105,0.9901678562164307,0.5103257894515991,0.37055492401123047,0.0477282740175724,0.9875398874282837,0.4000895917415619,0.2785288393497467,1e-05
31,0.026231953874230385,0.9902943968772888,0.510592520236969,0.3713003993034363,0.048602063208818436,0.9875596761703491,0.40235769748687744,0.28127482533454895,1e-05
32,0.02545207366347313,0.9904921650886536,0.5208391547203064,0.3803871273994446,0.048173315823078156,0.9875685572624207,0.40539097785949707,0.2835104465484619,1e-06
33,0.025269009172916412,0.9904660582542419,0.5205989480018616,0.38054507970809937,0.04856839403510094,0.9875239133834839,0.4015381634235382,0.28027573227882385,1e-06
34,0.025365982204675674,0.990437388420105,0.5206997990608215,0.38073399662971497,0.04863167926669121,0.9875192046165466,0.40086930990219116,0.2799075245857239,1e-06
35,0.02534729614853859,0.9904962778091431,0.5202404260635376,0.38061392307281494,0.048972684890031815,0.9875059723854065,0.4059341847896576,0.28438544273376465,1e-06
36,0.025017203763127327,0.9905732274055481,0.5238538384437561,0.38384318351745605,0.049304232001304626,0.987497091293335,0.4016185998916626,0.2807212769985199,1e-06
37,0.025113705545663834,0.9905330538749695,0.524630069732666,0.38456565141677856,0.049612581729888916,0.9874879717826843,0.40372294187545776,0.2822088599205017,1e-06
38,0.025098783895373344,0.9905588030815125,0.5233315229415894,0.38367390632629395,0.04961954429745674,0.9874706268310547,0.4034234583377838,0.28194376826286316,1e-06
39,0.024979649111628532,0.9906452298164368,0.5258467793464661,0.38564708828926086,0.049698639661073685,0.9874759912490845,0.40635326504707336,0.28463542461395264,1e-07
40,0.024970177561044693,0.9906100034713745,0.5245737433433533,0.38479435443878174,0.04991282522678375,0.9874613881111145,0.4051620066165924,0.28373855352401733,1e-07
41,0.024885021150112152,0.9906240105628967,0.5254102349281311,0.38558781147003174,0.04965885356068611,0.9874789118766785,0.40419965982437134,0.2826441824436188,1e-07
42,0.025189822539687157,0.9905406832695007,0.52437824010849,0.38427120447158813,0.049669791013002396,0.9874879717826843,0.40355953574180603,0.2822851240634918,1e-07
43,0.024832459166646004,0.9906726479530334,0.524649441242218,0.3846603035926819,0.049497269093990326,0.9874886274337769,0.4054878354072571,0.28372764587402344,1e-07
44,0.02500791661441326,0.9905913472175598,0.5251078009605408,0.3849168121814728,0.049534957855939865,0.9874851703643799,0.40377211570739746,0.2823468744754791,1e-07
45,0.024959275498986244,0.9906145334243774,0.524466335773468,0.3847437798976898,0.0493457205593586,0.987497091293335,0.40250423550605774,0.28157860040664673,1e-07
46,0.024896597489714622,0.9906603693962097,0.5250113606452942,0.38541680574417114,0.0494643859565258,0.9874922633171082,0.40314674377441406,0.2819441556930542,1e-08
47,0.02483564242720604,0.9906553030014038,0.525470495223999,0.385758638381958,0.049879223108291626,0.9874715209007263,0.40674692392349243,0.2853803038597107,1e-08
48,0.02484494261443615,0.9905989766120911,0.5249823331832886,0.3852686882019043,0.04947292432188988,0.9874922037124634,0.40274325013160706,0.2818707823753357,1e-08
49,0.02517133206129074,0.9905692934989929,0.524459183216095,0.3846482038497925,0.04955586418509483,0.987493634223938,0.4055475890636444,0.28379005193710327,1e-08
