epoch,loss,accuracy,f1-score,val_loss,val_accuracy,val_f1-score
0,0.8974011540412903,0.47814643383026123,0.11192868649959564,0.9271222949028015,0.9710516929626465,0.08202724158763885
1,0.8929577469825745,0.4393095374107361,0.115718774497509,0.9360421895980835,0.984779953956604,0.07295882701873779
2,0.8837829232215881,0.46054449677467346,0.12468772381544113,0.9506134390830994,0.7483772039413452,0.057891663163900375
3,0.8767606616020203,0.4773580729961395,0.13158759474754333,0.912783145904541,0.5453261733055115,0.09558034688234329
4,0.87318354845047,0.4636659622192383,0.13513393700122833,0.9254503846168518,0.19636718928813934,0.08343048393726349
5,0.8687959909439087,0.44293656945228577,0.1399245709180832,0.8840261697769165,0.39690256118774414,0.12503503262996674
6,0.856997013092041,0.4101434350013733,0.15161216259002686,0.886103630065918,0.370956689119339,0.12271838635206223
7,0.8503655791282654,0.4065037965774536,0.15829169750213623,0.9122511744499207,0.615795910358429,0.09726708382368088
8,0.849092423915863,0.41704049706459045,0.1604560911655426,0.884757399559021,0.332991361618042,0.12510372698307037
9,0.8387556672096252,0.40987399220466614,0.17104683816432953,0.8738794326782227,0.27577802538871765,0.13627958297729492
10,0.8334782719612122,0.404769629240036,0.17666931450366974,0.8716945052146912,0.453143835067749,0.1390187293291092
11,0.8241807222366333,0.38245782256126404,0.18618154525756836,0.8603236675262451,0.36799293756484985,0.15048612654209137
12,0.8091302514076233,0.38984400033950806,0.2011539489030838,0.883870005607605,0.38313156366348267,0.12692710757255554
13,0.8008944392204285,0.39212682843208313,0.20946276187896729,0.8908557891845703,0.2257853001356125,0.1201554387807846
14,0.8010161519050598,0.38713815808296204,0.20982204377651215,0.8414740562438965,0.25507843494415283,0.17016077041625977
15,0.8018552660942078,0.39010047912597656,0.20977531373500824,0.8330398797988892,0.26863619685173035,0.17900414764881134
16,0.7877579927444458,0.3799956142902374,0.22408737242221832,0.8545701503753662,0.20402444899082184,0.15748384594917297
17,0.7770155668258667,0.37168002128601074,0.23491767048835754,0.843805193901062,0.24527625739574432,0.1687767207622528
18,0.7692280411720276,0.37927237153053284,0.2429671436548233,0.8428948521614075,0.41992032527923584,0.16982175409793854
19,0.7604242563247681,0.37706226110458374,0.2519833743572235,0.8201928734779358,0.13407742977142334,0.19276924431324005
20,0.7641556262969971,0.3183313310146332,0.2490038275718689,0.8679335117340088,0.350896954536438,0.1462797373533249
21,0.7530840635299683,0.32052427530288696,0.26074445247650146,0.8520910739898682,0.14869999885559082,0.16250552237033844
22,0.7506091594696045,0.27931541204452515,0.26378360390663147,0.8305724263191223,0.14105215668678284,0.18420195579528809
23,0.7471700310707092,0.30333584547042847,0.26752984523773193,0.8358351588249207,0.317859947681427,0.17936554551124573
24,0.7314299941062927,0.27697405219078064,0.28354594111442566,0.8263115882873535,0.19216525554656982,0.18909458816051483
25,0.7381163835525513,0.28349316120147705,0.2774328291416168,0.8447665572166443,0.27230432629585266,0.17145457863807678
26,0.7247353792190552,0.27437669038772583,0.29136568307876587,0.8293297290802002,0.19337664544582367,0.1871490776538849
27,0.7152035236358643,0.2673429250717163,0.3010285794734955,0.811279833316803,0.1544792503118515,0.2051786184310913
28,0.7115502953529358,0.2837236821651459,0.30479347705841064,0.8126893043518066,0.12635546922683716,0.20390041172504425
29,0.7212470769882202,0.2895623445510864,0.2954740524291992,0.802046000957489,0.11545558273792267,0.21521879732608795
30,0.7141122221946716,0.27262014150619507,0.3029780685901642,0.808128833770752,0.11972886323928833,0.20946192741394043
31,0.7114832997322083,0.29005053639411926,0.30600568652153015,0.8132835030555725,0.10605908930301666,0.20475251972675323
32,0.710800290107727,0.2782221734523773,0.3070276379585266,0.8165016174316406,0.09475616365671158,0.20178768038749695
33,0.7063789963722229,0.25632140040397644,0.31159713864326477,0.8186271786689758,0.089780792593956,0.19971796870231628
34,0.6987375617027283,0.26951396465301514,0.31957051157951355,0.8188712000846863,0.30506613850593567,0.19996808469295502
35,0.6942068338394165,0.292584091424942,0.3243345022201538,0.8326008319854736,0.37220171093940735,0.18615828454494476
36,0.6899929642677307,0.2714972496032715,0.32865792512893677,0.8303388953208923,0.15266153216362,0.18826048076152802
37,0.6908592581748962,0.26681801676750183,0.32787930965423584,0.8171294331550598,0.15417727828025818,0.20188961923122406
38,0.6966158151626587,0.2808265686035156,0.32222503423690796,0.8475033640861511,0.19025051593780518,0.17204391956329346
39,0.6968497037887573,0.3230247497558594,0.32260969281196594,0.8370749354362488,0.23578986525535583,0.18270103633403778
40,0.6780852675437927,0.2987384796142578,0.34133586287498474,0.8397372961044312,0.22106586396694183,0.180097296833992
41,0.6792192459106445,0.2621769607067108,0.340206116437912,0.8142967224121094,0.20341812074184418,0.20551860332489014
42,0.6770585179328918,0.2790701687335968,0.34258130192756653,0.887684166431427,0.189935564994812,0.13214901089668274
43,0.6731950044631958,0.2780078649520874,0.34645405411720276,0.8081925511360168,0.09409236162900925,0.2116406410932541
44,0.6838820576667786,0.24542012810707092,0.33628609776496887,0.8030390739440918,0.11923007667064667,0.2178519070148468
45,0.6740580797195435,0.22880901396274567,0.34695306420326233,0.8257606029510498,0.137248232960701,0.19537092745304108
46,0.6655468344688416,0.24166563153266907,0.3554201126098633,0.810893714427948,0.11612550914287567,0.2102448046207428
47,0.6654512882232666,0.2458331286907196,0.3554571866989136,0.8260596990585327,0.17854738235473633,0.19484864175319672
48,0.6657012701034546,0.2487262636423111,0.35516202449798584,0.8359881043434143,0.17578381299972534,0.18506722152233124
49,0.6637318134307861,0.24035312235355377,0.3571561872959137,0.8437232971191406,0.1148931086063385,0.17723122239112854
