epoch,loss,accuracy,get_f1
0,0.33968037366867065,0.8966488242149353,0.017386818304657936
1,0.08959685266017914,0.9852009415626526,0.030199412256479263
2,0.05215270444750786,0.988079309463501,0.2838588058948517
3,0.03767861798405647,0.9906262755393982,0.43151742219924927
4,0.02900656871497631,0.9920786023139954,0.503796398639679
5,0.0240342915058136,0.9929044842720032,0.5422835350036621
6,0.020276149734854698,0.9937560558319092,0.568554699420929
7,0.017179027199745178,0.9945244789123535,0.6046440601348877
8,0.014910186640918255,0.9950463175773621,0.6292868256568909
9,0.01348850131034851,0.9954249262809753,0.6457687616348267
10,0.011791926808655262,0.9958632588386536,0.6696253418922424
11,0.01081798691302538,0.9961215257644653,0.675927996635437
12,0.009713931009173393,0.9964433312416077,0.6923760175704956
13,0.009071453474462032,0.9966216087341309,0.6935995817184448
14,0.00880142766982317,0.9966283440589905,0.6963302493095398
15,0.008360333740711212,0.9967780709266663,0.7082154750823975
16,0.007616973016411066,0.9970384836196899,0.7109108567237854
17,0.007187534123659134,0.9971835017204285,0.721854031085968
18,0.006758491974323988,0.997322678565979,0.7331785559654236
19,0.006553639657795429,0.9973800778388977,0.7283236980438232
20,0.006269670557230711,0.9974669218063354,0.7371792197227478
21,0.0061272806487977505,0.9975305199623108,0.737659215927124
22,0.005711233243346214,0.9976864457130432,0.7434971332550049
23,0.005859366152435541,0.9976303577423096,0.7409079670906067
24,0.005474198143929243,0.9977619647979736,0.7522915005683899
25,0.005179666914045811,0.99787837266922,0.7533699870109558
26,0.005028789862990379,0.9979267716407776,0.7573977708816528
27,0.005100036505609751,0.9978935122489929,0.7507834434509277
28,0.005099646281450987,0.9978852272033691,0.7608848214149475
29,0.004849566612392664,0.9979982972145081,0.7609879970550537
30,0.004672423005104065,0.9980874061584473,0.7594861388206482
31,0.004325107205659151,0.9981966614723206,0.7738636136054993
32,0.004338177386671305,0.9981836676597595,0.7721609473228455
33,0.004527699202299118,0.9981182813644409,0.7680381536483765
34,0.00425079045817256,0.9982321858406067,0.7715729475021362
35,0.004079428967088461,0.9982894062995911,0.7798916697502136
36,0.003978986293077469,0.9983333945274353,0.7790231108665466
37,0.0038801543414592743,0.9983716607093811,0.7795825600624084
38,0.003941785078495741,0.9983386397361755,0.7777622938156128
39,0.003874331945553422,0.9983657002449036,0.7803624272346497
40,0.0038488551508635283,0.998371422290802,0.7805015444755554
41,0.003678414272144437,0.9984541535377502,0.7843961119651794
42,0.0035246433690190315,0.9985141754150391,0.7880347967147827
43,0.003776712343096733,0.9984225034713745,0.7822467684745789
44,0.003550340421497822,0.9985064268112183,0.7878282070159912
45,0.003379900474101305,0.9985751509666443,0.7904013395309448
46,0.003322702832520008,0.9986000061035156,0.7902635335922241
47,0.003330871229991317,0.9986023306846619,0.7900506854057312
48,0.003145604394376278,0.9986758232116699,0.7945449352264404
49,0.003073545405641198,0.9986971020698547,0.7946442365646362
