epoch,loss,accuracy,get_f1
0,0.9280587434768677,0.7619568109512329,0.11880886554718018
1,0.8159437775611877,0.9527802467346191,0.253090500831604
2,0.7138451337814331,0.9753833413124084,0.338687926530838
3,0.6522919535636902,0.9824216365814209,0.3955477774143219
4,0.6194309592247009,0.985111653804779,0.4319694936275482
5,0.5899655222892761,0.9871821403503418,0.46303731203079224
6,0.5611428618431091,0.9881072640419006,0.48316311836242676
7,0.517662525177002,0.9887656569480896,0.48056307435035706
8,0.49104762077331543,0.9885513186454773,0.4475821852684021
9,0.46668514609336853,0.9884921908378601,0.4213811457157135
10,0.4431077241897583,0.9888502955436707,0.41959235072135925
11,0.38948360085487366,0.9898793697357178,0.4799051880836487
12,0.3803902566432953,0.9899869561195374,0.5003517866134644
13,0.3834448754787445,0.9899567365646362,0.4782748520374298
14,0.40709617733955383,0.9890999794006348,0.4464874267578125
15,0.4135778844356537,0.989067792892456,0.42757073044776917
16,0.36151179671287537,0.9899175763130188,0.4807145297527313
17,0.3891526162624359,0.9891608357429504,0.44334855675697327
18,0.39649197459220886,0.9894139170646667,0.4433259665966034
19,0.48951852321624756,0.9877762198448181,0.26818400621414185
20,0.3984564244747162,0.9893696308135986,0.42436712980270386
21,0.5001823306083679,0.9865826368331909,0.26214390993118286
22,0.42223477363586426,0.9883623719215393,0.3950592279434204
23,0.37215128540992737,0.9893104434013367,0.4550524652004242
24,0.3881556987762451,0.9889678955078125,0.43841078877449036
25,0.35114768147468567,0.9900082349777222,0.4854835569858551
26,0.3698183596134186,0.9897069334983826,0.4619673192501068
27,0.3733842968940735,0.9896833300590515,0.4487255811691284
28,0.4197095036506653,0.9883585572242737,0.38398486375808716
29,0.371651291847229,0.9897152781486511,0.44083908200263977
30,0.33652737736701965,0.9901711940765381,0.48564836382865906
31,0.33043697476387024,0.9905537366867065,0.4950534701347351
32,0.3216690123081207,0.9903256893157959,0.5100748538970947
33,0.3186042606830597,0.9904063940048218,0.4973849654197693
34,0.29609134793281555,0.990847110748291,0.5294897556304932
35,0.30358654260635376,0.9907230138778687,0.5208078026771545
36,0.29779812693595886,0.9909084439277649,0.528083324432373
37,0.315623939037323,0.99070805311203,0.510606586933136
38,0.2958630919456482,0.9909939169883728,0.5296064019203186
39,0.2788774371147156,0.9912625551223755,0.5437849164009094
40,0.2829618453979492,0.9910027980804443,0.541088342666626
41,0.3138565719127655,0.990547239780426,0.5035853981971741
42,0.2824443578720093,0.9910520315170288,0.5381723642349243
43,0.2634303569793701,0.9915933012962341,0.5605442523956299
44,0.2670780420303345,0.9912118911743164,0.5511754155158997
45,0.2580634355545044,0.9915743470191956,0.5483278036117554
46,0.2581513524055481,0.9917470812797546,0.5612124800682068
47,0.2745719254016876,0.9914264678955078,0.5413823127746582
48,0.2754373252391815,0.9912287592887878,0.5515853762626648
49,0.24303875863552094,0.9919347763061523,0.5797876119613647
