,loss,accuracy,f1-score,iou_score,val_loss,val_accuracy,val_f1-score,val_iou_score,lr
0,0.9216212630271912,0.6431990265846252,0.07833267748355865,0.043455563485622406,0.9624133706092834,0.02688644267618656,0.03758808970451355,0.02019037865102291,1e-04
1,0.8526042699813843,0.8817760348320007,0.14726191759109497,0.08717914670705795,0.9147242903709412,0.5913564562797546,0.08490883558988571,0.048470281064510345,1e-04
2,0.7019019722938538,0.9653720259666443,0.298216849565506,0.1926354169845581,0.6685285568237305,0.9810880422592163,0.3303806185722351,0.21408076584339142,1e-04
3,0.6118948459625244,0.9777142405509949,0.3879562318325043,0.2636518180370331,0.6055254936218262,0.9817265272140503,0.3941557705402374,0.26983705163002014,1e-04
4,0.5561732649803162,0.9796730279922485,0.44355735182762146,0.31072142720222473,0.8140764832496643,0.8421944975852966,0.1879531294107437,0.11664403229951859,1e-04
5,0.5398750305175781,0.9805160164833069,0.4603833258152008,0.32955604791641235,0.5447351932525635,0.9856278896331787,0.45696139335632324,0.33622682094573975,1e-04
6,0.5230330228805542,0.9812160730361938,0.4769013822078705,0.3432323932647705,0.5843950510025024,0.9846490025520325,0.4156157076358795,0.2982492446899414,1e-04
7,0.5063467025756836,0.9817655682563782,0.49377378821372986,0.359382688999176,0.5563523769378662,0.977661669254303,0.4421737790107727,0.3183003067970276,1e-04
8,0.4964770972728729,0.9818747043609619,0.503861129283905,0.36671382188796997,0.5564092993736267,0.9769794940948486,0.4448091387748718,0.32291027903556824,1e-04
9,0.48731693625450134,0.9821913242340088,0.5125517845153809,0.3777000904083252,0.5311750173568726,0.977875828742981,0.47002679109573364,0.3440617024898529,1e-04
10,0.47444701194763184,0.9827369451522827,0.524742066860199,0.38908347487449646,0.535291314125061,0.9840137362480164,0.4636814594268799,0.3391602635383606,1e-04
11,0.46210113167762756,0.9832130670547485,0.5381308197975159,0.40003424882888794,0.520753800868988,0.9838314652442932,0.4778941571712494,0.34898385405540466,1e-04
