,loss,accuracy,f1-score,iou_score,val_loss,val_accuracy,val_f1-score,val_iou_score,lr
0,0.016305170953273773,0.9726313352584839,0.043267253786325455,0.022702325135469437,0.012198596261441708,0.9799931645393372,0.028457999229431152,0.014708789065480232,1e-04
1,0.008444687351584435,0.977451503276825,0.05617954209446907,0.0298145841807127,0.009413366205990314,0.9799955487251282,0.03237392380833626,0.016788002103567123,1e-04
2,0.006958776619285345,0.9781658053398132,0.075111523270607,0.04048944637179375,0.0120155680924654,0.9807847738265991,0.058524295687675476,0.03154841065406799,1e-04
3,0.006499121896922588,0.9788643717765808,0.08570419996976852,0.046668943017721176,0.00733163021504879,0.9814630150794983,0.06378399580717087,0.03452262654900551,1e-04
4,0.005864661652594805,0.9798041582107544,0.09638404846191406,0.05300724506378174,0.004980157595127821,0.9826953411102295,0.09013644605875015,0.04987417906522751,1e-04
5,0.005584111902862787,0.9803116917610168,0.1044321209192276,0.05787522718310356,0.011580227874219418,0.9806880354881287,0.06444909423589706,0.03505329415202141,1e-04
6,0.005289576482027769,0.9806291460990906,0.11118113249540329,0.06186525151133537,0.004895789083093405,0.981940746307373,0.08615446835756302,0.0473036989569664,1e-04
7,0.00513899140059948,0.9810572862625122,0.11685624718666077,0.06532853096723557,0.007338375318795443,0.98375403881073,0.087726891040802,0.048572927713394165,1e-04
8,0.005044835619628429,0.9810170531272888,0.11974529922008514,0.06713747978210449,0.005745038855820894,0.9826187491416931,0.08523143827915192,0.04697852581739426,1e-04
9,0.004765525925904512,0.9820817112922668,0.12602196633815765,0.07111722230911255,0.007069308776408434,0.984286904335022,0.08281809091567993,0.045649897307157516,1e-04
10,0.004533678293228149,0.9827556610107422,0.1335199922323227,0.07593756914138794,0.006003434769809246,0.9811060428619385,0.0998837798833847,0.055085018277168274,1e-04
11,0.00456572137773037,0.9825428128242493,0.1340354084968567,0.07607963681221008,0.005223451182246208,0.9846275448799133,0.10280493646860123,0.057620275765657425,1e-04
12,0.004000196699053049,0.9837387800216675,0.14538057148456573,0.08341342955827713,0.0040724254213273525,0.983957052230835,0.12200266867876053,0.06922467797994614,1e-05
13,0.003773211967200041,0.984664797782898,0.1514931321144104,0.08743234723806381,0.003883379977196455,0.9851972460746765,0.12661491334438324,0.0724487453699112,1e-05
