epoch,loss,accuracy,get_f1
0,0.03794480115175247,0.931613564491272,0.01431700773537159
1,0.006679606158286333,0.985139787197113,0.021139685064554214
2,0.004780110903084278,0.9861035346984863,0.09908422827720642
3,0.0037554434966295958,0.988148033618927,0.23413023352622986
4,0.0030634074937552214,0.9897172451019287,0.317758709192276
5,0.0025827749632298946,0.9910589456558228,0.37909507751464844
6,0.002255629049614072,0.9920475482940674,0.43178266286849976
7,0.0020005530677735806,0.9927069544792175,0.45817625522613525
8,0.0018546878127381206,0.9930437207221985,0.4951752722263336
9,0.0016180892707780004,0.9938434362411499,0.5236960053443909
10,0.0013924461090937257,0.9946029782295227,0.5608875155448914
11,0.0012676323531195521,0.9949525594711304,0.5775224566459656
12,0.001237312681041658,0.9950076341629028,0.601116418838501
13,0.0011908267624676228,0.9951618909835815,0.593754768371582
14,0.0010714223608374596,0.9956491589546204,0.6214205622673035
15,0.0010256977984681726,0.9957191944122314,0.6336755156517029
16,0.0009451789665035903,0.9960404634475708,0.6513561606407166
17,0.0009722633403725922,0.9959422945976257,0.6432071328163147
18,0.0009005859610624611,0.9962477684020996,0.655067503452301
19,0.0008118184050545096,0.9965323805809021,0.6711193919181824
20,0.0007976118940860033,0.9966086745262146,0.6884639263153076
21,0.0007937320042401552,0.9966126680374146,0.6761365532875061
22,0.0007591013563796878,0.996741771697998,0.6773813366889954
23,0.0007502383086830378,0.9967407584190369,0.6846266388893127
24,0.0007207421003840864,0.9968855381011963,0.6955595016479492
25,0.0007191451732069254,0.9969277381896973,0.7018601894378662
26,0.000727618345990777,0.9969410300254822,0.7019150257110596
27,0.0006051468662917614,0.9973461031913757,0.7214537858963013
28,0.0005659815506078303,0.9974846243858337,0.7309397459030151
29,0.0005804743268527091,0.9974718689918518,0.7316828966140747
30,0.0005703800707124174,0.9975093603134155,0.727924108505249
31,0.0005687022930942476,0.9974978566169739,0.72298264503479
32,0.0005325732636265457,0.9976609945297241,0.7399620413780212
33,0.000532034202478826,0.9976629018783569,0.7376881241798401
34,0.000513789476826787,0.9977337121963501,0.7389999628067017
35,0.0005020540556870401,0.9977992177009583,0.7483363747596741
36,0.00048760371282696724,0.9978333711624146,0.7459515929222107
37,0.00047105603152886033,0.9979149699211121,0.7505505681037903
38,0.0005048078019171953,0.9977557063102722,0.7493485808372498
39,0.00046843066229484975,0.997907817363739,0.7540090680122375
40,0.0008001363021321595,0.9969197511672974,0.6975886821746826
41,0.0004726301121991128,0.9978979825973511,0.7529279589653015
42,0.0004282893205527216,0.9981351494789124,0.7679325342178345
43,0.00037587748374789953,0.9983333945274353,0.7723820805549622
44,0.0003624988894443959,0.9983999133110046,0.7778840661048889
45,0.0003653830790426582,0.998365581035614,0.7781577706336975
46,0.00039853723137639463,0.9982513785362244,0.7693518400192261
47,0.00041309010703116655,0.9981521964073181,0.7700873613357544
48,0.00042005706927739084,0.9981452226638794,0.7610300779342651
49,0.0004314104444347322,0.9980884194374084,0.7642731070518494
